Strategy,Std_PF,OOS_PF,WR_%,Sharpe,Trades,Status
MR10_Relaxed_LTC_A,1.02,1.038,43.12,0.066,661,PASS
MR13_InsideBar_All_B,1.01,0.0,44.34,-0.177,370,STD_PASS
MR2_LTC_NY_A_SL1.5TP2.5,1.0,1.053,42.5,-0.087,280,PASS
MR13_InsideBar_LTC_B,1.0,0.0,43.75,-0.071,80,STD_PASS
MR2_NY_LTC,1.0,1.053,42.5,-0.087,280,PASS
MR2_NY_BTC_B,0.97,1.005,45.75,-0.344,247,FAIL
MR2_LTC_NY_C_SL1.5TP2.0,0.97,1.05,47.52,-0.317,282,FAIL
MR2_LTC_CHOP55_std1.8_A,0.96,0.972,42.27,-0.532,362,FAIL
MR12_PinBar_LTC_A,0.96,0.0,41.96,-0.313,143,FAIL
MR12_PinBar_LTC_B,0.96,0.0,43.26,-0.347,141,FAIL
MR2_NY_TRUMP_B,0.96,0.69,42.79,-0.401,229,FAIL
MR13_InsideBar_LTC_A,0.96,0.0,41.25,-0.24,80,FAIL
MR2_LTC_CHOP52_std2.0_A,0.96,0.955,42.13,-0.643,489,FAIL
MR2_LTC_AllSess_A,0.93,0.908,41.3,-1.261,724,FAIL
MR2_LTC_NY_B_SL2.0TP3.0,0.92,1.02,42.05,-0.82,264,FAIL
MR2_LTC_CHOP48_std2.2_A,0.92,0.9,41.18,-1.319,709,FAIL
MR2_NY_BTC,0.92,0.88,42.08,-0.776,259,FAIL
MR2_NY_LTC_B,0.92,1.02,42.05,-0.82,264,FAIL
MR13_InsideBar_All_A,0.91,0.0,40.27,-0.683,372,FAIL
MR2_LTC_CHOP45_std2.5_A,0.91,0.9,40.94,-1.561,806,FAIL
MR2_LTC_CHOP55_std1.8_B,0.9,0.912,41.93,-1.151,353,FAIL
MR2_LTC_CHOP52_std2.0_B,0.89,0.942,41.74,-1.395,472,FAIL
MR2_LTC_AllSess_B,0.88,0.875,41.26,-2.008,681,FAIL
MR10_Relaxed_All_A,0.88,0.928,39.99,-1.877,2881,FAIL
MR10_Relaxed_All_B,0.88,0.934,41.67,-1.714,2765,FAIL
MR2_LTC_CHOP48_std2.2_B,0.87,0.855,41.02,-2.125,668,FAIL
MR2_NY_TRUMP,0.86,0.63,38.66,-1.129,238,FAIL
MR2_NY_SOL,0.85,0.78,37.99,-1.47,279,FAIL
MR12_PinBar_All_B,0.85,0.0,40.7,-1.084,600,FAIL
MR10_BB1.5_All_A,0.85,0.881,39.58,-3.625,7625,FAIL
MR2_NY_SOL_B,0.85,0.717,40.15,-1.41,264,FAIL
MR2_LTC_CHOP45_std2.5_B,0.85,0.84,40.37,-2.64,753,FAIL
MR12_PinBar_All_A,0.83,0.0,38.94,-1.217,611,FAIL
MR12_PinBar_TRUMP_B,0.67,0.0,34.26,-2.173,108,FAIL
MR12_PinBar_TRUMP_A,0.62,0.0,31.19,-2.568,109,FAIL
