TF,Strategy,Std_PF,OOS_PF,WR_%,Sharpe,Trades,Status
15m,MR2_NY_LTC,1.25,0.0,47.25,0.995,91,STD_PASS
15m,MR2_NY_LTC,1.16,0.0,43.62,0.633,94,STD_PASS
15m,MR10_Engulf_LTC,1.0,0.982,40.65,-0.074,337,STD_PASS
5m,FX_MR6_ADX_Collapse_A,0.97,1.045,43.18,-0.389,875,FAIL
15m,MR10_Engulf_LTC,0.96,0.955,42.04,-0.489,314,FAIL
5m,FX_MR5_BB_Engulf_MACD_B,0.95,0.0,43.34,-0.362,503,FAIL
15m,MR2_NY_All,0.94,0.0,40.81,-0.472,360,FAIL
15m,MR10_Engulf_All,0.94,0.941,41.52,-0.562,1222,FAIL
15m,MR2_AllSess_LTC,0.94,1.26,38.89,-0.622,234,FAIL
5m,FX_MR6_ADX_Collapse_B,0.92,0.895,43.47,-0.704,868,FAIL
15m,MR2_NY_All,0.92,0.0,39.15,-0.528,370,FAIL
15m,FX_MR5_BB_Engulf_MACD_B,0.91,0.0,40.34,-0.47,247,FAIL
15m,MR10_Engulf_All,0.89,0.859,38.17,-1.206,1294,FAIL
15m,MR2_AllSess_All,0.87,1.095,37.85,-1.165,904,FAIL
15m,FX_MR6_ADX_Collapse_B,0.87,0.0,39.61,-0.613,175,FAIL
5m,FX_MR2_BB_RSI_Div_B,0.87,0.0,41.38,-0.544,58,FAIL
15m,FX_MR4_Triple_Extreme_B,0.86,0.869,39.82,-1.667,1786,FAIL
5m,FX_MR2_BB_RSI_Div_A,0.86,0.0,39.66,-0.598,58,FAIL
5m,FX_MR5_BB_Engulf_MACD_A,0.85,0.0,38.85,-1.014,508,FAIL
15m,FX_MR5_BB_Engulf_MACD_A,0.84,0.0,36.5,-0.778,249,FAIL
15m,FX_MR4_Triple_Extreme_A,0.82,0.829,36.69,-2.192,1925,FAIL
5m,FX_MR4_Triple_Extreme_B,0.8,0.771,39.39,-4.804,5912,FAIL
15m,FX_MR6_ADX_Collapse_A,0.77,0.0,35.25,-1.056,176,FAIL
5m,FX_MR4_Triple_Extreme_A,0.76,0.741,37.0,-5.836,6366,FAIL
