Rank,Timeframe,Regime,Use_Color,Use_Sweep,Use_POC,SL_ATR,TP_ATR,PF,WR,Sharpe,Expectancy
1,5min_1year,trend,True,False,True,2.1,4.4,0.7,35.72,-6.006,-6.7095
2,15min_1year,chop,False,False,False,2.8,5.9,0.77,42.11,-3.764,-6.8417
3,30min_1year,any,False,False,True,2.6,5.2,0.9,39.5,-1.57,-6.266
4,15min_1year,trend,True,False,True,1.7,3.1,0.65,36.77,-8.494,-5.0113
5,5min_1year,trend,True,True,False,0.5,4.4,0.4,13.08,-13.631,-8.434
6,5min_1year,trend,True,True,True,0.6,2.6,0.39,19.36,-10.076,-16.5614
7,15min_1year,any,False,True,True,2.7,3.3,0.72,46.04,-4.618,-7.9834
8,15min_1year,trend,True,False,True,2.8,3.9,0.61,41.19,-10.284,-3.8774
9,30min_1year,trend,True,False,True,2.3,1.6,0.74,57.83,-4.962,-6.4107
10,30min_1year,chop,False,False,True,1.6,2.2,0.77,44.57,-3.81,-8.8305
11,15min_1year,any,True,True,True,0.6,1.6,0.47,27.92,-14.791,-9.186
12,30min_1year,chop,True,True,False,2.4,3.1,0.69,40.42,-2.956,-26.2711
13,5min_1year,chop,False,True,False,2.2,3.8,0.73,37.35,-3.968,-15.1552
14,5min_1year,chop,True,True,False,2.8,5.6,0.73,40.4,-3.398,-16.2825
15,5min_1year,trend,True,False,True,1.8,1.5,0.62,54.77,-13.066,-3.4042
16,5min_1year,chop,True,False,True,0.8,6.0,0.66,19.66,-10.512,-5.8175
17,5min_1year,chop,True,True,False,2.4,1.3,0.58,63.12,-5.514,-15.4691
18,5min_1year,trend,True,True,False,3.0,1.6,0.62,60.13,-7.012,-7.4999
19,15min_1year,trend,False,False,True,2.8,4.1,0.76,42.69,-4.516,-6.6312
20,15min_1year,chop,True,True,True,2.1,4.3,0.95,40.44,-0.998,-2.5024
21,15min_1year,any,True,False,True,2.8,5.4,0.76,39.22,-4.3,-7.5328
22,15min_1year,any,False,True,True,0.7,2.2,0.56,25.44,-14.163,-5.972
23,15min_1year,trend,False,False,False,0.7,2.4,0.48,24.05,-22.281,-2.0486
24,5min_1year,chop,True,False,False,0.8,2.7,0.6,22.81,-15.489,-4.646
25,5min_1year,trend,True,False,False,0.8,2.9,0.5,22.73,-22.534,-2.2659
26,15min_1year,chop,True,False,False,0.5,4.3,0.62,10.9,-18.424,-4.0463
27,5min_1year,any,True,False,False,2.7,5.7,0.81,35.38,-3.498,-10.1258
28,5min_1year,trend,True,True,False,0.6,4.3,0.46,13.71,-12.885,-6.7389
29,5min_1year,chop,False,True,False,2.1,1.8,0.62,52.64,-6.746,-11.799
30,30min_1year,trend,False,True,False,2.3,3.4,0.75,40.57,-3.57,-13.5222
31,5min_1year,chop,False,False,False,2.3,3.0,0.61,42.65,-7.795,-5.974
32,5min_1year,trend,False,False,False,1.5,3.3,0.64,35.59,-10.037,-3.6518
33,15min_1year,trend,True,False,False,1.6,1.8,0.58,46.16,-15.882,-2.8052
34,30min_1year,any,True,False,True,2.6,3.3,0.8,45.43,-3.398,-7.3861
35,5min_1year,trend,True,True,True,0.6,3.1,0.4,20.55,-10.356,-16.496
36,30min_1year,any,False,True,True,3.0,5.9,0.94,38.54,-0.898,-2.4354
37,15min_1year,any,False,False,True,2.1,2.3,0.62,44.82,-14.121,-2.5909
38,30min_1year,trend,True,True,True,1.7,2.4,0.74,43.77,-2.45,-19.9549
39,15min_1year,chop,True,True,False,2.3,5.3,0.64,40.07,-4.464,-15.4398
40,15min_1year,trend,True,False,True,2.0,4.5,0.67,37.63,-7.606,-5.1049
41,30min_1year,chop,False,True,False,2.0,2.9,0.71,39.33,-3.514,-20.8067
42,30min_1year,chop,True,True,True,2.8,4.1,1.0,49.25,-0.168,-1.7798
43,5min_1year,any,True,True,False,1.4,6.0,0.62,21.34,-5.57,-10.4194
44,30min_1year,any,True,False,True,1.9,4.1,0.82,33.05,-2.852,-10.5463
45,15min_1year,trend,True,False,True,0.8,4.1,0.68,17.66,-12.404,-3.8341
46,30min_1year,trend,True,True,True,1.8,2.6,0.82,42.96,-1.969,-15.0584
47,5min_1year,any,False,True,False,1.0,5.4,0.58,20.35,-8.004,-6.5581
48,15min_1year,chop,True,False,True,2.2,1.8,0.65,55.71,-6.68,-8.2344
49,30min_1year,any,True,True,True,2.5,2.0,0.78,55.51,-1.875,-14.5552
