Trial,Strategy,PF,WR,Sharpe,Score,Params
0,CAPITULATION,0.62,15.85,-31.18,-29.735,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.015601864044243652, 'b_upper': 0.9155994520336203, 'b_trigger_l': 0.05871254182522992, 'b_trigger_s': 0.9299264218662402, 'vol_mult': 2.2421185223120967, 'atr_mult': 2.4453378978124864, 'sl_atr': 0.6, 'tp_atr': 7.8, 'max_bars_hold': 85}"
1,TREND_SCALP,0.65,42.09,-5.39,-1.231,"{'strategy_type': 'TREND_SCALP', 'use_candle_color': True, 'regime': 'chop', 'use_sweep': False, 'sweep_lookback': 25, 'use_poc': True, 'sl_atr': 3.3, 'tp_atr': 5.0, 'max_bars_hold': 14}"
2,TREND_SCALP,0.68,33.67,-2.826,0.581,"{'strategy_type': 'TREND_SCALP', 'use_candle_color': True, 'regime': 'any', 'use_sweep': True, 'sweep_lookback': 27, 'use_poc': False, 'sl_atr': 1.9, 'tp_atr': 5.5, 'max_bars_hold': 38}"
6,RSI_ADX_CHOP,0.69,43.31,-2.24,2.161,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.793913689074525, 'adx_max': 30.698671808344926, 'chop_max': 65.21570097233794, 'rsi_os': 31.225543951389923, 'rsi_ob': 75.41934359909122, 'sl_atr': 3.2, 'tp_atr': 4.4, 'max_bars_hold': 48}"
7,TREND_SCALP,0.89,48.5,-1.384,4.136,"{'strategy_type': 'TREND_SCALP', 'use_candle_color': False, 'regime': 'trend', 'use_sweep': True, 'sweep_lookback': 8, 'use_poc': True, 'sl_atr': 5.7, 'tp_atr': 6.6, 'max_bars_hold': 67}"
14,MACD_REV,0.9,45.32,0.097,5.329,"{'strategy_type': 'MACD_REV', 'chop_thresh': 59.48565365331082, 'sweep_lookback': 10, 'sl_atr': 4.4, 'tp_atr': 6.0, 'max_bars_hold': 99}"
17,CAPITULATION,0.84,46.23,0.15,5.293,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09950437265290359, 'b_upper': 0.9969269852048719, 'b_trigger_l': 0.08977991487257653, 'b_trigger_s': 0.8041238015895535, 'vol_mult': 1.3333074760076502, 'atr_mult': 1.3502797598388554, 'sl_atr': 4.2, 'tp_atr': 6.9, 'max_bars_hold': 78}"
19,CAPITULATION,0.92,44.56,0.621,5.837,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09647810314415041, 'b_upper': 0.9937778115759286, 'b_trigger_l': 0.12703505102657855, 'b_trigger_s': 0.8709865062151115, 'vol_mult': 1.1689791451410256, 'atr_mult': 1.3392806708469307, 'sl_atr': 3.8, 'tp_atr': 7.2, 'max_bars_hold': 97}"
23,CAPITULATION,0.89,47.68,0.184,5.622,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07616024498847213, 'b_upper': 0.9796493482824741, 'b_trigger_l': 0.08846008425493515, 'b_trigger_s': 0.8353049784620559, 'vol_mult': 1.4759263274640233, 'atr_mult': 1.6232076673623883, 'sl_atr': 5.1, 'tp_atr': 7.2, 'max_bars_hold': 95}"
24,CAPITULATION,1.16,55.28,0.712,7.72,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07551652977892613, 'b_upper': 0.9736985397186851, 'b_trigger_l': 0.19741526662509873, 'b_trigger_s': 0.8470237609272211, 'vol_mult': 1.5893653085123944, 'atr_mult': 1.849784381809601, 'sl_atr': 5.2, 'tp_atr': 5.1, 'max_bars_hold': 93}"
25,CAPITULATION,1.06,54.61,0.41,7.051,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07507374776470319, 'b_upper': 0.975249027485638, 'b_trigger_l': 0.19516298764068093, 'b_trigger_s': 0.8451766097468616, 'vol_mult': 1.5409478077235743, 'atr_mult': 1.868748662467689, 'sl_atr': 5.1, 'tp_atr': 4.9, 'max_bars_hold': 91}"
