Trial,Strategy,PF,WR,Sharpe,Score,Params
0,CAPITULATION,0.76,17.32,0.331,2.343,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.015601864044243652, 'b_upper': 0.9155994520336203, 'b_trigger_l': 0.05871254182522992, 'b_trigger_s': 0.9299264218662402, 'vol_mult': 2.2421185223120967, 'atr_mult': 2.4453378978124864, 'sl_atr': 0.6, 'tp_atr': 7.8, 'max_bars_hold': 85}"
4,CAPITULATION,24.98,69.16,-1.196,78.66,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.05426960831582485, 'b_upper': 0.9140924224974762, 'b_trigger_l': 0.17032954711310597, 'b_trigger_s': 0.8111825965519657, 'vol_mult': 2.975085179540983, 'atr_mult': 2.567265061663649, 'sl_atr': 1.6, 'tp_atr': 0.5, 'max_bars_hold': 84}"
10,CAPITULATION,25.3,76.16,-0.622,80.894,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08194271515534342, 'b_upper': 0.9853472103769234, 'b_trigger_l': 0.19227895368680983, 'b_trigger_s': 0.802185051175093, 'vol_mult': 2.824563111036784, 'atr_mult': 2.9350198389394695, 'sl_atr': 5.3, 'tp_atr': 0.7, 'max_bars_hold': 100}"
11,CAPITULATION,26.01,74.91,3.806,87.327,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0869788751966085, 'b_upper': 0.9951373962945264, 'b_trigger_l': 0.1986098025048923, 'b_trigger_s': 0.8025498864876442, 'vol_mult': 2.9376680169795044, 'atr_mult': 2.9899144920409575, 'sl_atr': 6.0, 'tp_atr': 0.5, 'max_bars_hold': 98}"
12,CAPITULATION,27.08,78.39,8.376,95.455,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0998625872440838, 'b_upper': 0.9996749567144488, 'b_trigger_l': 0.1935634318062949, 'b_trigger_s': 0.8040970131478699, 'vol_mult': 2.989390299603341, 'atr_mult': 2.984872307837108, 'sl_atr': 6.0, 'tp_atr': 0.8, 'max_bars_hold': 100}"
13,MACD_REV,25.24,85.0,-1.104,81.116,"{'strategy_type': 'MACD_REV', 'chop_thresh': 69.0436573895216, 'sweep_lookback': 24, 'sl_atr': 4.9, 'tp_atr': 1.8, 'max_bars_hold': 100}"
15,CAPITULATION,26.7,69.84,64.632,149.716,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0969269852048718, 'b_upper': 0.9662517098483601, 'b_trigger_l': 0.1455095145026645, 'b_trigger_s': 0.8632689992670354, 'vol_mult': 2.4877463993807893, 'atr_mult': 2.9986805561809504, 'sl_atr': 5.9, 'tp_atr': 1.6, 'max_bars_hold': 85}"
17,CAPITULATION,0.73,53.03,0.526,6.019,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.05996408444196241, 'b_upper': 0.9585968225569007, 'b_trigger_l': 0.1344252849706363, 'b_trigger_s': 0.8870841716654112, 'vol_mult': 2.308575883023455, 'atr_mult': 1.816953887559684, 'sl_atr': 4.0, 'tp_atr': 3.0, 'max_bars_hold': 66}"
18,CAPITULATION,1.05,71.92,38.909,47.251,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09652325178791947, 'b_upper': 0.9601535946021974, 'b_trigger_l': 0.13611399442299596, 'b_trigger_s': 0.8724880696346171, 'vol_mult': 2.5176627886319083, 'atr_mult': 2.478531636088208, 'sl_atr': 5.4, 'tp_atr': 1.4, 'max_bars_hold': 77}"
19,CAPITULATION,1.24,54.36,2.455,9.611,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0717627398040756, 'b_upper': 0.9728643164951444, 'b_trigger_l': 0.09542834716268755, 'b_trigger_s': 0.8482106733377528, 'vol_mult': 1.6671557934698205, 'atr_mult': 2.998657271401685, 'sl_atr': 6.0, 'tp_atr': 2.5, 'max_bars_hold': 57}"
21,CAPITULATION,27.37,76.62,15.979,103.751,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09714888904410147, 'b_upper': 0.9986736263660757, 'b_trigger_l': 0.16382546286314706, 'b_trigger_s': 0.8247033350781601, 'vol_mult': 2.766631411170618, 'atr_mult': 2.985583542411926, 'sl_atr': 6.0, 'tp_atr': 0.6, 'max_bars_hold': 96}"
22,CAPITULATION,3.16,68.81,62.936,77.297,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09696048638251105, 'b_upper': 0.9393455610057369, 'b_trigger_l': 0.15846110546333778, 'b_trigger_s': 0.8368426348087624, 'vol_mult': 2.603578880787791, 'atr_mult': 2.7383932979107284, 'sl_atr': 4.8, 'tp_atr': 1.5, 'max_bars_hold': 92}"
23,CAPITULATION,0.79,76.3,12.796,20.796,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.027357227878644873, 'b_upper': 0.977837531992045, 'b_trigger_l': 0.1644516348698513, 'b_trigger_s': 0.8286170420850935, 'vol_mult': 2.6313224153498727, 'atr_mult': 2.0918689296454405, 'sl_atr': 5.6, 'tp_atr': 1.1, 'max_bars_hold': 74}"
24,CAPITULATION,1.38,61.55,19.218,27.513,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07400053603518253, 'b_upper': 0.9399181755372137, 'b_trigger_l': 0.15743495962996418, 'b_trigger_s': 0.8685299323816347, 'vol_mult': 1.840858712808904, 'atr_mult': 2.753368049532245, 'sl_atr': 6.0, 'tp_atr': 2.4, 'max_bars_hold': 93}"
