Trial,Timeframe,Regime,Use_Color,Use_Sweep,Use_POC,SL_ATR,TP_ATR,PF,WR,Sharpe,Score
0,30min_1year,trend,False,True,False,0.5,9.8,0.5,7.18,-5.903,-6.544
3,15min_1year,trend,True,True,False,0.7,3.9,0.41,16.85,-5.812,-6.15
4,15min_1year,chop,False,True,False,3.7,7.6,0.9,40.82,-2.812,-0.971
9,30min_1year,trend,True,False,False,5.0,3.2,0.81,55.32,-2.758,-0.372
10,30min_1year,any,True,False,True,4.6,1.1,0.76,78.51,-3.503,-0.057
11,30min_1year,any,True,False,True,5.0,1.1,0.75,79.28,-3.268,0.196
12,30min_1year,any,True,False,True,4.9,1.2,0.76,76.67,-2.89,0.464
16,30min_1year,any,True,False,True,3.1,2.3,0.87,57.76,-1.965,0.663
17,30min_1year,any,True,False,True,2.9,2.4,0.86,55.66,-1.83,0.673
19,30min_1year,any,True,False,True,2.8,4.8,0.89,41.05,-0.823,1.009
22,30min_1year,any,True,False,True,3.6,6.6,0.96,43.65,-0.736,1.367
23,30min_1year,any,True,False,True,3.5,5.7,0.98,43.48,-0.192,1.942
24,30min_1year,any,True,False,True,3.7,6.5,1.01,43.28,0.113,2.297
32,30min_1year,any,False,True,True,3.4,5.4,1.02,44.2,0.13,9.38
63,30min_1year,any,True,False,True,4.4,7.7,1.01,45.41,0.136,9.426
103,30min_1year,trend,True,False,True,3.9,9.5,1.02,42.18,0.058,9.207
129,30min_1year,trend,True,False,True,3.6,9.1,1.03,41.71,-0.068,9.078
137,30min_1year,trend,True,False,True,3.8,8.4,1.03,42.45,-0.066,9.116
138,30min_1year,trend,True,False,True,4.6,8.3,1.09,44.78,-0.038,9.381
152,30min_1year,trend,True,False,True,4.6,7.3,1.1,47.21,0.156,9.716
158,30min_1year,trend,True,False,True,4.8,7.3,1.06,46.42,-0.041,9.4
298,30min_1year,any,True,True,True,4.8,1.7,0.93,73.79,0.534,4.084
299,30min_1year,any,True,True,True,4.9,1.5,0.93,77.35,0.556,4.284
