,TF,Strategy,Std_PF,WF_OOS_PF,Win_Rate_%,WF_OOS_WR%,Sharpe,Std_Trades,WF_Trades,Status
1,15m,MR-F_BB_Pct_ATR_Blowoff_Div,1.02,11.991,57.75,59.78,-0.148,101,69,[PASS]
2,15m,MR-H_RSI_ADX_Precision_Scalp,0.89,0.951,51.32,51.46,-1.096,1335,1046,[FAIL]
3,15m,MR-A_ALMA_BB_RSI_Reset,0.88,0.969,44.49,48.35,-0.584,119,65,[FAIL]
4,5m,MR-F_BB_Pct_ATR_Blowoff_Div,0.8,1.329,51.25,51.74,-0.768,222,180,[FAIL]
5,5m,MR-D_ADX_RSI_ATR_Spike_Fade,0.77,0.73,40.62,39.41,-0.976,92,34,[FAIL]
6,5m,MR-H_RSI_ADX_Precision_Scalp,0.7,0.663,46.27,45.37,-5.299,3288,2645,[FAIL]
7,5m,MR-E_MACD_Fade_StochRSI_Exhaust,0.61,0.711,48.92,47.35,-2.553,644,511,[FAIL]
8,15m,MR-E_MACD_Fade_StochRSI_Exhaust,0.6,5.998,48.99,58.18,-1.154,149,100,[FAIL]
9,15m,MR-B_StochRSI_MACD_Diverge,0.59,0.781,48.84,47.57,-2.232,359,274,[FAIL]
10,15m,MR-J_Choppiness_Range_StochRSI,0.53,0.668,41.05,43.05,-2.511,403,317,[FAIL]
11,15m,MR-K_Triple_Confluence,0.52,0.0,35.95,0.0,-0.704,20,0,[FAIL]
12,5m,MR-B_StochRSI_MACD_Diverge,0.51,0.528,48.38,48.65,-3.487,608,494,[FAIL]
13,5m,MR-A_ALMA_BB_RSI_Reset,0.46,0.492,35.97,36.29,-4.445,729,585,[FAIL]
14,5m,MR-J_Choppiness_Range_StochRSI,0.36,0.412,34.79,34.84,-5.453,752,603,[FAIL]
15,5m,MR-K_Triple_Confluence,0.33,0.293,39.47,40.38,-1.974,108,56,[FAIL]
2,5m,MR-C_BB_Squeeze_ALMA_Pull,0.0,0.0,0.0,0.0,0.0,3,0,SKIP_FEW_TRADES
6,5m,MR-G_ALMA_EMA_Deviation_Fade,0.0,0.0,0.0,0.0,0.0,0,0,SKIP_FEW_TRADES
8,5m,MR-I_MACD_Zero_BB_Extreme,0.0,0.0,0.0,0.0,0.0,2,0,SKIP_FEW_TRADES
11,5m,MR-L_EMA9_MACD_Diverge_ADX,0.0,0.0,0.0,0.0,0.0,0,0,SKIP_FEW_TRADES
14,15m,MR-C_BB_Squeeze_ALMA_Pull,0.0,0.0,0.0,0.0,0.0,4,0,SKIP_FEW_TRADES
15,15m,MR-D_ADX_RSI_ATR_Spike_Fade,0.0,0.0,0.0,0.0,0.0,18,0,SKIP_FEW_TRADES
18,15m,MR-G_ALMA_EMA_Deviation_Fade,0.0,0.0,0.0,0.0,0.0,0,0,SKIP_FEW_TRADES
20,15m,MR-I_MACD_Zero_BB_Extreme,0.0,0.0,0.0,0.0,0.0,0,0,SKIP_FEW_TRADES
23,15m,MR-L_EMA9_MACD_Diverge_ADX,0.0,0.0,0.0,0.0,0.0,0,0,SKIP_FEW_TRADES
