Regime,Trigger,Param,SL_ATR,TP_ATR,Trades,WinRate,ProfitFactor,Expectancy
HTF_Trend,BB_Exhaustion,2.5,1.5,3.0,57,47.37,1.14,8.83
HTF_Trend,BB_Exhaustion,2.5,1.0,3.0,57,40.35,1.12,9.0173
HTF_Trend,BB_Exhaustion,2.5,1.0,2.0,57,45.61,1.1,7.3668
HTF_Trend,BB_Exhaustion,2.5,2.0,3.0,57,49.12,1.05,2.8157
HTF_Trend,BB_Exhaustion,2.5,1.5,2.0,57,50.88,1.01,0.5459
HTF_Trend,BB_Exhaustion,2.5,2.0,2.0,57,54.39,0.97,-1.3446
HTF_Trend,BB_Exhaustion,2.5,1.0,1.5,57,47.37,0.88,-7.6185
Chop_Squeeze,RSI_Extreme,10,2.0,3.0,405,46.46,0.88,-7.1256
Chop_Squeeze,RSI_Extreme,10,1.5,3.0,406,41.13,0.88,-8.0783
HTF_Trend,BB_Exhaustion,2.5,1.5,1.0,58,65.52,0.84,-6.4345
HTF_Trend,BB_Exhaustion,2.5,1.0,1.0,58,58.62,0.84,-8.4333
HTF_Trend,BB_Exhaustion,2.5,2.0,1.5,57,57.89,0.84,-7.0016
HTF_Trend,BB_Exhaustion,2.0,2.0,3.0,917,44.05,0.84,-8.7063
HTF_Trend,BB_Exhaustion,2.0,1.5,3.0,922,39.7,0.84,-9.8199
HTF_Trend,BB_Exhaustion,2.5,2.0,1.0,58,68.97,0.83,-5.3376
HTF_Trend,BB_Exhaustion,2.0,1.0,3.0,944,32.08,0.83,-12.8413
Chop_Squeeze,BB_Exhaustion,2.5,1.5,2.0,119,46.08,0.82,-12.3912
Chop_Squeeze,RSI_Extreme,10,2.0,2.0,408,53.06,0.81,-9.7615
HTF_Trend,BB_Exhaustion,2.5,1.5,1.5,57,52.63,0.81,-10.3556
Chop_Squeeze,BB_Exhaustion,2.5,2.0,3.0,118,41.62,0.81,-14.0224
HTF_Trend,BB_Exhaustion,2.5,0.5,2.0,57,26.32,0.81,-20.3874
Chop_Squeeze,BB_Exhaustion,2.5,2.0,2.0,119,50.4,0.8,-12.2782
Chop_Squeeze,RSI_Extreme,10,1.5,2.0,409,47.17,0.8,-12.6183
Chop_Squeeze,BB_Exhaustion,2.5,1.5,3.0,118,37.26,0.8,-14.6894
No_Filter,BB_Exhaustion,2.0,2.0,3.0,20028,43.33,0.79,-1.991
No_Filter,RSI_Extreme,10,2.0,3.0,17747,43.16,0.79,-2.2363
HTF_Trend,RSI_Extreme,15,2.0,3.0,4577,43.06,0.79,-6.5562
No_Filter,BB_Exhaustion,2.5,2.0,3.0,9621,42.77,0.79,-3.9988
Chop_Squeeze,RSI_Extreme,10,1.0,3.0,406,30.92,0.79,-18.1218
Chop_Squeeze,BB_Exhaustion,2.5,2.0,1.5,119,57.02,0.78,-11.4054
HTF_Trend,RSI_Extreme,10,2.0,3.0,1641,43.68,0.78,-9.7401
No_Filter,RSI_Extreme,15,2.0,3.0,24321,43.4,0.78,-1.6441
No_Filter,RSI_Extreme,20,2.0,3.0,28390,43.11,0.78,-1.4093
No_Filter,StochRSI_Cross,N/A,2.0,3.0,27320,41.87,0.78,-1.4645
No_Filter,BB_Exhaustion,2.0,1.5,3.0,21784,37.61,0.78,-1.8357
No_Filter,RSI_Extreme,10,1.5,3.0,19322,37.12,0.78,-2.0687
No_Filter,BB_Exhaustion,2.5,1.5,3.0,9973,36.89,0.78,-3.9358
Chop_Squeeze,RSI_Extreme,10,0.5,3.0,408,20.96,0.78,-25.2686
HTF_Trend,BB_Exhaustion,2.0,2.0,2.0,920,50.42,0.77,-10.9934
Chop_Squeeze,RSI_Extreme,15,2.0,3.0,1787,43.06,0.77,-9.7932
HTF_Trend,RSI_Extreme,15,1.5,3.0,4639,38.27,0.77,-7.2657
HTF_Trend,RSI_Extreme,10,2.0,2.0,1650,50.65,0.76,-9.639
HTF_Trend,RSI_Extreme,15,2.0,2.0,4669,49.8,0.76,-6.691
HTF_Trend,BB_Exhaustion,2.0,1.5,2.0,925,45.52,0.76,-13.062
Chop_Squeeze,RSI_Extreme,20,2.0,3.0,4000,42.51,0.76,-7.5094
HTF_Trend,RSI_Extreme,10,1.5,3.0,1651,38.8,0.76,-12.0854
No_Filter,RSI_Extreme,20,1.5,3.0,32061,37.67,0.76,-1.2481
No_Filter,RSI_Extreme,15,1.5,3.0,27122,37.54,0.76,-1.4751
HTF_Trend,BB_Exhaustion,2.0,2.0,1.5,931,58.36,0.75,-9.9768
Chop_Squeeze,BB_Exhaustion,2.5,1.5,1.5,119,51.94,0.75,-14.3868
No_Filter,StochRSI_Cross,N/A,2.0,2.0,32519,48.75,0.75,-1.2306
HTF_Trend,RSI_Extreme,10,1.5,2.0,1660,45.46,0.75,-11.9483
HTF_Trend,RSI_Extreme,20,2.0,3.0,8291,42.32,0.75,-4.5065
HTF_Trend,BB_Exhaustion,2.0,1.0,2.0,947,37.8,0.75,-16.4124
Chop_Squeeze,RSI_Extreme,15,1.5,3.0,1799,37.29,0.75,-11.81
No_Filter,BB_Exhaustion,2.0,1.0,3.0,24368,29.56,0.75,-1.6416
No_Filter,BB_Exhaustion,2.5,1.0,3.0,10437,29.12,0.75,-3.8162
HTF_Trend,BB_Exhaustion,2.0,2.0,1.0,951,69.97,0.74,-8.2026
Chop_Squeeze,RSI_Extreme,10,2.0,1.5,412,59.21,0.74,-11.9716
No_Filter,BB_Exhaustion,2.0,2.0,2.0,21538,50.45,0.74,-1.8538
No_Filter,RSI_Extreme,10,2.0,2.0,19228,50.23,0.74,-2.0748
No_Filter,RSI_Extreme,15,2.0,2.0,27656,50.07,0.74,-1.4472
HTF_Trend,RSI_Extreme,20,2.0,2.0,8684,49.46,0.74,-4.2794
HTF_Trend,RSI_Extreme,15,1.5,2.0,4728,44.66,0.74,-7.3332
HTF_Trend,RSI_Extreme,10,1.0,2.0,1695,38.09,0.74,-14.0874
Chop_Squeeze,RSI_Extreme,10,1.0,2.0,409,37.91,0.74,-19.8351
Chop_Squeeze,RSI_Extreme,20,1.5,3.0,4043,37.22,0.74,-8.0786
No_Filter,StochRSI_Cross,N/A,1.5,3.0,30497,36.5,0.74,-1.3118
No_Filter,BB_Exhaustion,3.0,1.5,3.0,3157,36.42,0.74,-9.7459
HTF_Trend,RSI_Extreme,10,1.0,3.0,1686,31.7,0.74,-14.4229
No_Filter,RSI_Extreme,10,1.0,3.0,21578,29.77,0.74,-1.8539
No_Filter,RSI_Extreme,15,1.0,3.0,31607,29.58,0.74,-1.2659
HTF_Trend,RSI_Extreme,10,2.0,1.5,1661,57.25,0.73,-9.6144
HTF_Trend,RSI_Extreme,15,2.0,1.5,4743,56.37,0.73,-6.623
Chop_Squeeze,RSI_Extreme,10,1.5,1.5,413,53.08,0.73,-15.2958
HTF_Trend,BB_Exhaustion,2.0,1.5,1.5,935,52.68,0.73,-13.1847
No_Filter,RSI_Extreme,20,2.0,2.0,33351,49.97,0.73,-1.2001
No_Filter,RSI_Extreme,10,1.5,2.0,20804,44.16,0.73,-1.9228
No_Filter,BB_Exhaustion,3.0,2.0,3.0,3132,41.36,0.73,-9.4267
Chop_Squeeze,BB_Exhaustion,2.0,2.0,3.0,1053,41.09,0.73,-13.527
Chop_Squeeze,StochRSI_Cross,N/A,2.0,3.0,3948,40.98,0.73,-8.3451
HTF_Trend,RSI_Extreme,20,1.5,3.0,8512,37.3,0.73,-4.5831
Chop_Squeeze,StochRSI_Cross,N/A,1.5,3.0,4067,36.11,0.73,-8.6401
HTF_Trend,RSI_Extreme,15,1.0,3.0,4820,29.7,0.73,-7.9024
Chop_Squeeze,RSI_Extreme,15,2.0,2.0,1809,49.77,0.72,-10.936
Chop_Squeeze,BB_Exhaustion,2.0,2.0,2.0,1097,49.05,0.72,-12.4096
HTF_Trend,RSI_Extreme,10,1.0,1.5,1705,44.99,0.72,-13.7349
No_Filter,BB_Exhaustion,2.0,1.5,2.0,23277,44.39,0.72,-1.7186
HTF_Trend,RSI_Extreme,20,1.5,2.0,8901,44.12,0.72,-4.3674
