Trigger,Param1_BB/Dist,Param2_RSI,SL_ATR,TP_ATR,Trades,WinRate,ProfitFactor,Expectancy
BB_RSI_Combo,2.5,25,3.0,0.8,58,82.76,1.06,0.9345
BB_RSI_Combo,2.5,20,3.0,0.8,55,81.82,1.01,0.2187
BB_RSI_Combo,2.5,25,3.0,1.0,58,74.14,0.97,-0.6613
BB_RSI_Combo,2.0,15,4.0,1.5,611,65.59,0.94,-1.2948
BB_RSI_Combo,2.5,20,3.0,1.0,55,72.73,0.91,-1.8168
BB_RSI_Combo,2.0,20,4.0,1.5,795,64.4,0.9,-2.3003
BB_RSI_Combo,2.5,25,4.0,0.8,58,82.76,0.89,-1.4551
BB_RSI_Combo,2.0,15,4.0,1.0,617,75.51,0.88,-1.9843
BB_RSI_Combo,2.0,25,4.0,1.5,900,64.49,0.88,-2.852
BB_RSI_Combo,2.0,20,4.0,1.0,806,74.69,0.87,-2.1552
BB_RSI_Combo,2.0,15,4.0,0.8,620,79.94,0.86,-1.9937
BB_RSI_Combo,2.0,20,4.0,0.8,812,79.16,0.86,-2.1231
BB_RSI_Combo,2.5,25,3.0,0.5,58,87.93,0.85,-1.3549
BB_RSI_Combo,2.5,20,4.0,0.8,55,81.82,0.85,-2.102
BB_RSI_Combo,2.5,25,4.0,1.0,58,74.14,0.85,-2.4262
BB_RSI_Combo,2.5,25,3.0,1.5,57,59.65,0.85,-4.5595
BB_RSI_Combo,2.0,25,4.0,1.0,916,74.8,0.84,-2.5739
BB_RSI_Combo,2.5,20,3.0,0.5,55,89.09,0.83,-1.6462
BB_RSI_Combo,2.5,25,2.0,0.8,58,75.86,0.83,-4.4415
BB_RSI_Combo,2.5,25,1.5,0.8,58,72.41,0.83,-5.2036
BB_RSI_Combo,2.0,15,3.0,1.5,612,62.84,0.83,-5.0017
BB_RSI_Combo,2.0,15,2.0,1.5,612,59.28,0.83,-6.8643
BB_RSI_Combo,2.5,25,1.5,1.0,58,65.52,0.82,-7.0558
BB_RSI_Combo,2.5,20,3.0,1.5,54,59.26,0.82,-5.4393
BB_RSI_Combo,2.5,25,2.0,1.5,57,57.89,0.82,-7.9341
BB_RSI_Combo,2.0,25,4.0,0.8,929,78.97,0.81,-2.6873
BB_RSI_Combo,2.5,25,2.0,1.0,58,68.97,0.81,-6.1361
BB_RSI_Combo,2.5,20,4.0,1.0,55,72.73,0.8,-3.3903
BB_RSI_Combo,2.0,25,3.0,1.5,901,62.17,0.8,-5.7252
BB_RSI_Combo,2.0,20,3.0,1.5,796,61.91,0.8,-5.7281
BB_RSI_Combo,2.5,25,1.5,1.5,57,52.63,0.8,-10.9916
BB_RSI_Combo,2.5,20,1.5,0.8,55,70.91,0.79,-6.9626
BB_RSI_Combo,2.5,25,4.0,1.5,57,59.65,0.79,-5.1013
BB_RSI_Combo,2.0,20,2.0,1.5,797,58.1,0.79,-8.1971
BB_RSI_Combo,2.0,15,1.5,1.5,614,54.52,0.79,-10.438
BB_RSI_Combo,2.5,20,2.0,0.8,55,74.55,0.78,-5.7967
BB_RSI_Combo,2.0,25,2.0,1.5,902,58.0,0.78,-8.5867
BB_RSI_Combo,2.5,20,1.5,1.5,54,51.85,0.78,-12.0009
BB_RSI_Combo,2.0,15,2.0,1.0,618,69.46,0.77,-7.3884
BB_RSI_Combo,2.5,20,1.5,1.0,55,63.64,0.77,-9.5874
BB_RSI_Combo,2.0,15,3.0,1.0,618,72.66,0.76,-5.7925
BB_RSI_Combo,2.0,20,3.0,1.0,807,72.12,0.76,-5.5406
BB_RSI_Combo,2.5,20,2.0,1.0,55,67.27,0.76,-8.0932
BB_RSI_Combo,2.5,20,4.0,1.5,54,59.26,0.76,-5.8541
BB_RSI_Combo,2.0,25,3.0,1.0,917,72.29,0.75,-5.6047
BB_RSI_Combo,2.0,20,2.0,1.0,807,68.67,0.75,-7.6124
BB_RSI_Combo,2.5,20,2.0,1.5,54,55.56,0.75,-11.3141
BB_RSI_Combo,2.0,25,1.5,1.5,906,53.03,0.75,-11.8346
BB_RSI_Combo,2.0,15,3.0,0.8,621,77.39,0.74,-5.2648
BB_RSI_Combo,2.0,25,2.0,1.0,917,68.71,0.74,-7.889
BB_RSI_Combo,2.0,20,1.5,1.5,799,52.61,0.74,-12.3522
BB_RSI_Combo,2.0,20,3.0,0.8,813,76.84,0.73,-5.2602
BB_RSI_Combo,2.0,15,2.0,0.8,621,74.37,0.73,-7.0746
BB_RSI_Combo,2.0,25,3.0,0.8,930,76.7,0.71,-5.6165
BB_RSI_Combo,2.0,15,1.5,1.0,620,64.55,0.71,-11.4052
BB_RSI_Combo,2.0,20,2.0,0.8,813,73.42,0.7,-7.886
BB_RSI_Combo,2.0,25,1.5,1.0,921,63.77,0.7,-11.4057
BB_RSI_Combo,2.5,25,2.0,0.5,58,82.76,0.69,-4.9669
BB_RSI_Combo,2.0,20,1.5,1.0,809,63.22,0.69,-12.0328
BB_RSI_Combo,2.5,25,4.0,0.5,58,87.93,0.68,-2.7293
BB_RSI_Combo,2.5,25,1.5,0.5,58,79.31,0.68,-6.5929
BB_RSI_Combo,2.0,25,2.0,0.8,930,73.19,0.68,-8.2504
BB_RSI_Combo,2.5,20,2.0,0.5,55,83.64,0.67,-5.557
BB_RSI_Combo,2.5,20,4.0,0.5,55,89.09,0.66,-3.0399
BB_RSI_Combo,2.5,20,1.5,0.5,55,80.0,0.66,-7.3737
BB_RSI_Combo,2.0,15,1.5,0.8,623,69.82,0.66,-10.9899
BB_RSI_Combo,2.0,20,1.5,0.8,815,68.38,0.64,-12.0821
BB_RSI_Combo,2.0,25,1.5,0.8,934,68.3,0.63,-12.0028
BB_RSI_Combo,2.0,15,4.0,0.5,633,76.01,0.58,-3.2761
BB_RSI_Combo,2.0,20,4.0,0.5,835,75.83,0.56,-3.4622
BB_RSI_Combo,2.0,15,3.0,0.5,634,74.58,0.52,-6.1628
