Timeframe,Strategy,SL_ATR,TP_ATR,Trades,WinRate,ProfitFactor,Expectancy,Sharpe
15min_1year,BB_Stoch_MACD_Exhaustion,4.0,0.5,174,62.81,1.57,-0.3058,0.535
15min_1year,Fast_RSI_Chop_Scalp,4.0,0.5,199,85.12,1.44,-2.2111,0.226
15min_1year,BB_Stoch_MACD_Exhaustion,2.5,0.5,175,62.5,1.33,-1.2302,0.168
15min_1year,BB_Stoch_MACD_Exhaustion,4.0,1.0,174,59.66,1.25,-1.4335,0.045
15min_1year,BB_Stoch_MACD_Exhaustion,4.0,2.0,174,58.52,1.21,-1.6427,-0.012
15min_1year,BB_Stoch_MACD_Exhaustion,2.5,1.0,175,59.34,1.11,-2.8048,-0.174
15min_1year,BB_Stoch_MACD_Exhaustion,2.5,2.0,175,58.21,1.08,-3.3582,-0.247
15min_1year,Fast_RSI_Chop_Scalp,4.0,1.0,198,74.97,1.07,-1.3926,-0.011
15min_1year,Fast_RSI_Chop_Scalp,2.5,0.5,199,84.27,1.06,-0.8716,-0.076
15min_1year,Fast_RSI_Chop_Scalp,4.0,2.0,198,66.1,1.05,-2.8583,-0.192
15min_1year,Fast_RSI_Chop_Scalp,2.5,1.0,198,71.97,1.03,0.206,0.056
15min_1year,Fast_RSI_Chop_Scalp,1.5,1.0,198,63.71,1.0,-0.3528,-0.061
15min_1year,BB_Stoch_MACD_Exhaustion,1.5,0.5,175,60.61,1.0,-1.8068,-0.186
15min_1year,Fast_RSI_Chop_Scalp,2.5,2.0,198,62.72,0.95,-3.4008,-0.342
15min_1year,BB_Stoch_MACD_Exhaustion,1.5,1.0,175,58.15,0.95,-3.6173,-0.376
5min_1year,Fast_RSI_Chop_Scalp,4.0,1.0,413,69.66,0.94,-2.7914,-0.683
5min_1year,Fast_RSI_Chop_Scalp,4.0,2.0,413,63.15,0.94,-3.5525,-0.873
15min_1year,BB_Stoch_MACD_Exhaustion,1.5,2.0,175,57.02,0.9,-4.8537,-0.485
15min_1year,Fast_RSI_Chop_Scalp,1.5,2.0,198,53.38,0.88,-7.046,-0.556
15min_1year,EMA9_HVN_Trap,2.5,2.0,1519,51.83,0.86,-5.4788,-1.524
15min_1year,EMA9_HVN_Trap,4.0,2.0,1445,56.91,0.85,-4.1969,-1.435
5min_1year,ALMA_POC_Bounce,4.0,1.0,151,57.12,0.82,-4.4121,-0.7
15min_1year,EMA9_HVN_Trap,1.5,2.0,1659,41.76,0.82,-8.5977,-2.064
15min_1year,EMA9_HVN_Trap,2.5,1.0,1691,68.96,0.81,-5.0543,-1.891
15min_1year,EMA9_HVN_Trap,4.0,1.0,1624,73.22,0.79,-3.9968,-1.874
15min_1year,Fast_RSI_Chop_Scalp,1.5,0.5,199,74.89,0.78,-6.7973,-0.825
5min_1year,ALMA_POC_Bounce,4.0,0.5,151,66.09,0.78,-3.9063,-0.719
5min_1year,Fast_RSI_Chop_Scalp,2.5,2.0,413,59.12,0.78,-9.4683,-1.694
15min_1year,EMA9_HVN_Trap,1.5,1.0,1805,59.03,0.77,-8.2774,-2.682
5min_1year,EMA9_HVN_Trap,4.0,2.0,4476,58.0,0.76,-4.9022,-4.002
5min_1year,ALMA_POC_Bounce,1.5,1.0,151,57.12,0.76,-11.3556,-1.011
5min_1year,ALMA_POC_Bounce,4.0,2.0,151,56.41,0.76,-4.8477,-0.81
5min_1year,Fast_RSI_Chop_Scalp,1.5,2.0,413,51.34,0.76,-13.6637,-1.852
5min_1year,ALMA_POC_Bounce,2.5,1.0,151,57.12,0.74,-8.2682,-0.99
5min_1year,EMA9_HVN_Trap,2.5,2.0,4777,52.98,0.74,-6.0458,-4.641
5min_1year,ALMA_POC_Bounce,1.5,0.5,151,66.09,0.73,-9.9559,-1.037
5min_1year,ALMA_POC_Bounce,1.5,2.0,151,56.41,0.72,-12.1753,-1.056
5min_1year,Fast_RSI_Chop_Scalp,2.5,1.0,413,65.73,0.71,-9.4619,-1.739
5min_1year,ALMA_POC_Bounce,2.5,2.0,151,56.41,0.71,-9.031,-1.062
5min_1year,ALMA_POC_Bounce,2.5,0.5,151,66.09,0.7,-7.4884,-1.021
5min_1year,Fast_RSI_Chop_Scalp,1.5,1.0,413,58.97,0.7,-14.1869,-1.973
5min_1year,EMA9_HVN_Trap,1.5,2.0,5273,43.43,0.7,-6.8262,-5.824
15min_1year,EMA9_HVN_Trap,2.5,0.5,1831,79.84,0.64,-5.8728,-3.168
15min_1year,EMA9_HVN_Trap,4.0,0.5,1787,83.44,0.62,-4.3897,-2.87
5min_1year,Fast_RSI_Chop_Scalp,4.0,0.5,414,73.62,0.62,-4.9193,-1.547
5min_1year,BB_Stoch_MACD_Exhaustion,4.0,0.5,299,50.0,0.62,-5.1208,-1.352
15min_1year,EMA9_HVN_Trap,1.5,0.5,1921,71.92,0.6,-9.1544,-4.291
5min_1year,EMA9_HVN_Trap,4.0,1.0,5028,71.91,0.59,-5.2384,-6.593
5min_1year,EMA9_HVN_Trap,2.5,1.0,5290,67.19,0.58,-6.1827,-7.769
5min_1year,BB_Stoch_MACD_Exhaustion,4.0,1.0,299,45.6,0.57,-6.796,-1.699
5min_1year,BB_Stoch_MACD_Exhaustion,4.0,2.0,299,45.6,0.57,-6.7712,-1.692
5min_1year,EMA9_HVN_Trap,1.5,1.0,5680,58.1,0.56,-6.596,-9.512
5min_1year,BB_Stoch_MACD_Exhaustion,2.5,0.5,299,49.69,0.54,-9.2202,-1.748
5min_1year,BB_Stoch_MACD_Exhaustion,1.5,0.5,299,48.31,0.54,-14.3548,-1.902
5min_1year,BB_Stoch_MACD_Exhaustion,1.5,1.0,299,43.59,0.48,-18.1845,-2.34
5min_1year,BB_Stoch_MACD_Exhaustion,1.5,2.0,299,43.59,0.48,-18.1249,-2.328
5min_1year,Fast_RSI_Chop_Scalp,2.5,0.5,414,71.26,0.47,-10.8394,-2.451
5min_1year,Fast_RSI_Chop_Scalp,1.5,0.5,414,66.42,0.47,-16.8104,-2.898
5min_1year,BB_Stoch_MACD_Exhaustion,2.5,1.0,299,44.97,0.46,-12.6593,-2.245
5min_1year,BB_Stoch_MACD_Exhaustion,2.5,2.0,299,44.97,0.46,-12.6212,-2.235
5min_1year,EMA9_HVN_Trap,4.0,0.5,5532,70.55,0.33,-5.2701,-9.922
5min_1year,EMA9_HVN_Trap,2.5,0.5,5722,67.36,0.32,-6.0704,-11.715
5min_1year,EMA9_HVN_Trap,1.5,0.5,6002,60.16,0.32,-6.4483,-14.792
