param_hash,entry,regime,sl_atr,tp_atr,risk_pct,trailing,passed_synthetic,expectancy,win_rate,profit_factor,sharpe_ratio,total_trades
d8010b6cd1de675ad85e91c531eb6700,ssf_cross,hurst_trending,4.0,6.0,0.05,True,False,0,0,0,0,0
9397e34e260890c9ab6f95ffc4c220fd,ssf_cross,chop_trending,1.0,3.0,0.04,False,False,0,0,0,0,0
92148367ba9775a4a4d6b516d7ef0d60,ssf_cross,adx_strong,1.0,4.0,0.05,False,False,0,0,0,0,0
d3ec4aaa3fd753cd7080a2c97a117e31,ssf_cross,none,1.0,5.0,0.04,False,False,0,0,0,0,0
3eee93732c4c7b7270fcffdf9a5fbba4,ssf_cross,hurst_mean_reverting,3.0,1.5,0.03,False,False,0,0,0,0,0
b12daf49d89799df34936b3cd0cac02d,ssf_cross,hurst_mean_reverting,3.0,2.0,0.05,False,False,0,0,0,0,0
4f44d152609ed8f541d1fc220164905e,ssf_cross,hurst_trending,2.0,6.0,0.02,False,False,0,0,0,0,0
082c3cce1a850d239c8f1ac11ace9847,ssf_cross,chop_trending,2.5,2.0,0.01,True,False,0,0,0,0,0
bb32c8a5bc24776619087e39d8bb7099,ssf_cross,adx_strong,4.0,2.0,0.05,True,False,0,0,0,0,0
a604ad318c68a609d78286fe07120202,ssf_cross,chop_trending,4.0,4.0,0.05,True,False,0,0,0,0,0
693fd6bda4dda5f980adc4808f83bea4,ssf_cross,adx_strong,2.5,4.0,0.04,False,False,0,0,0,0,0
5adfe3ed7625ba1bbe0f67d040dc73be,ssf_cross,chop_choppy,2.5,5.0,0.01,False,False,0,0,0,0,0
9a435c65e340977bff3a9554851fb68a,ssf_cross,adx_strong,1.0,6.0,0.04,True,False,0,0,0,0,0
3ac27db273a50ef3af996740dd8edfad,ssf_cross,adx_strong,1.5,1.5,0.03,False,False,0,0,0,0,0
2fdcb43cf5eb5727caafae97154624f5,ssf_cross,adx_strong,2.5,3.0,0.02,False,False,0,0,0,0,0
c63a23053a4e4cb1b7b08fb2198ff44b,ssf_cross,chop_trending,2.5,1.5,0.04,False,False,0,0,0,0,0
977aa3eb460cf98f269d3f14e215d21c,ssf_cross,chop_choppy,2.5,5.0,0.05,True,False,0,0,0,0,0
f2a683644649a1eafc1149b159b72683,ssf_cross,hurst_mean_reverting,1.0,4.0,0.04,False,False,0,0,0,0,0
3bfb805b61da302577b043ca02cd629b,ssf_cross,hurst_mean_reverting,2.0,6.0,0.04,True,False,0,0,0,0,0
4bc78e635b9a15d92c81c6505a1a9c68,ssf_cross,adx_strong,1.5,2.0,0.04,True,False,0,0,0,0,0
0cda03a719e039d6ecdb5ff4fc583290,ssf_cross,adx_strong,3.0,4.0,0.03,True,False,0,0,0,0,0
b383a93888e4c3bd4805408ad47d85ac,ssf_cross,none,1.0,6.0,0.01,True,False,0,0,0,0,0
1b76770146fb979a3133a46a4036bc84,ssf_cross,chop_trending,4.0,3.0,0.05,True,False,0,0,0,0,0
c9e6e3039cbd642b233f7ef9f130d373,ssf_cross,hurst_mean_reverting,2.5,5.0,0.03,False,False,0,0,0,0,0
dd305db5688f047bed6202c5001f978e,ssf_cross,hurst_trending,2.5,2.0,0.01,False,False,0,0,0,0,0
fb937cb0f3144562be89b860d6981428,ssf_cross,none,1.5,2.0,0.04,True,False,0,0,0,0,0
a17ac61777a28dd6619d4cc6de5b4d0a,ssf_cross,hurst_trending,2.5,3.0,0.01,True,False,0,0,0,0,0
2c62b51454889f20eab37bad9ada24b8,ssf_cross,adx_strong,2.5,4.0,0.01,True,False,0,0,0,0,0
430492869d09e3fe62035a12a55b3776,ssf_cross,none,1.5,4.0,0.01,True,False,0,0,0,0,0
a007ef12dc28cd5e5dc8b0774e4866d5,ssf_cross,adx_strong,2.0,6.0,0.01,True,False,0,0,0,0,0
3ac5142597d6db1d21cafd654a8ce999,ssf_cross,none,1.0,2.0,0.02,True,False,0,0,0,0,0
0ba7fde47ca6c4c63c12ac11530b683d,ssf_cross,none,1.0,5.0,0.02,True,False,0,0,0,0,0
62fdca5f8dba7cbe4f7ae31400cfaa6e,ssf_cross,hurst_trending,2.0,4.0,0.03,False,False,0,0,0,0,0
6b2e004c09c3fb428eb26147ac7ec99a,ssf_cross,none,1.5,6.0,0.01,False,False,0,0,0,0,0
a98bc8e6910fba8125dab113bd573779,ssf_cross,none,3.0,6.0,0.01,True,False,0,0,0,0,0
f8683f6c6a97e398d5eec28d9b26cdb5,ssf_cross,chop_choppy,2.5,6.0,0.01,True,False,0,0,0,0,0
cea720ea3744aae095a03f9ad4f108a0,ssf_cross,none,3.0,1.5,0.01,True,False,0,0,0,0,0
8222c11c228decd02f83532f57f192c0,ssf_cross,chop_trending,4.0,3.0,0.03,False,False,0,0,0,0,0
50a83ae9689e05a2bd9709f062e537b7,ssf_cross,none,1.5,1.5,0.05,False,False,0,0,0,0,0
6db8dfd814e1a276115323723c0c1002,ssf_cross,adx_strong,4.0,4.0,0.05,True,False,0,0,0,0,0
c93ee3a4069867b63d5c7dfe1f9c0654,ssf_cross,none,3.0,6.0,0.02,True,False,0,0,0,0,0
afbfc9ddf9e3e8775f1789e4244c5374,ssf_cross,hurst_trending,4.0,4.0,0.03,False,False,0,0,0,0,0
020fd87878b282ff75e65b887e909188,ssf_cross,none,1.0,4.0,0.03,False,False,0,0,0,0,0
04cf5ce4fb2c8dfd7ed3e5c4e94dc11a,ssf_cross,hurst_mean_reverting,2.0,5.0,0.05,True,False,0,0,0,0,0
d1faddf6787e9a532b9fba665aceed3a,ssf_cross,chop_choppy,3.0,6.0,0.02,False,False,0,0,0,0,0
a03992f5d41c1af8cdc79aee6660d45b,ssf_cross,chop_choppy,4.0,3.0,0.03,True,False,0,0,0,0,0
